,time1,CH1,CH2,CH3,CH23,time_step,time_delay,I_base,I_step
135,274.0,-12.627500000000005,2.2925,1.81,0.482499999999999,2.0,1000.0,1.0,90.0
136,276.0,-12.7025,2.3375000000000004,1.8675,0.47,2.0,1000.0,1.0,90.0
137,278.0,-12.287500000000001,2.2525,1.7574999999999998,0.494999999999999,2.0,1000.0,1.0,90.0
138,280.0,-12.7075,2.2775,1.7925,0.484999999999999,2.0,1000.0,1.0,90.0
139,282.0,-12.9025,2.4125,1.9125,0.499999999999999,2.0,1000.0,1.0,90.0
140,284.0,-12.52,2.285,1.8125,0.47250000000000003,2.0,1000.0,1.0,90.0
141,286.0,-12.7,2.385,1.8775,0.507499999999999,2.0,1000.0,1.0,90.0
142,288.0,-12.5475,2.4775,1.9500000000000002,0.5275,2.0,1000.0,1.0,90.0
143,290.0,-12.2825,2.3075,1.795,0.5125,2.0,1000.0,1.0,90.0
144,292.0,-12.549999999999999,2.3575,1.8575,0.5,2.0,1000.0,1.0,90.0
145,294.0,-12.612500000000002,2.3825,1.8825,0.5,2.0,1000.0,1.0,90.0
146,296.0,-12.425,2.1975,1.6975000000000002,0.499999999999999,2.0,1000.0,1.0,90.0
147,298.0,-12.745000000000001,2.3449999999999998,1.8399999999999999,0.504999999999999,2.0,1000.0,1.0,90.0
148,300.0,-12.582500000000001,2.3275,1.8225,0.504999999999999,2.0,1000.0,1.0,90.0
149,302.0,-12.657499999999999,2.3125,1.7999999999999998,0.512499999999999,2.0,1000.0,1.0,90.0
150,304.0,-12.865000000000002,2.4274999999999998,1.9175,0.51,2.0,1000.0,1.0,90.0
151,306.0,-12.649999999999999,2.3125,1.8125,0.499999999999999,2.0,1000.0,1.0,90.0
152,308.0,-12.312500000000002,2.3075,1.8125,0.494999999999999,2.0,1000.0,1.0,90.0
153,310.0,-12.8425,2.3525,1.87,0.482499999999999,2.0,1000.0,1.0,90.0
154,312.0,-12.280000000000001,2.1375,1.6575000000000002,0.48,2.0,1000.0,1.0,90.0
155,314.0,-12.475000000000005,2.1875,1.6925000000000001,0.494999999999999,2.0,1000.0,1.0,90.0
156,316.0,-12.715,2.4725,1.9725000000000001,0.499999999999999,2.0,1000.0,1.0,90.0
157,318.0,-12.140000000000002,2.0725,1.595,0.477499999999999,2.0,1000.0,1.0,90.0
158,320.0,-12.5725,2.295,1.805,0.49,2.0,1000.0,1.0,90.0
159,322.0,-13.077500000000002,2.395,1.9,0.495,2.0,1000.0,1.0,90.0
160,324.0,-12.642500000000002,2.31,1.8225,0.487499999999999,2.0,1000.0,1.0,90.0
161,326.0,-12.6225,2.4025,1.9375,0.464999999999999,2.0,1000.0,1.0,90.0
162,328.00000000000006,-12.044999999999998,2.195,1.695,0.5,2.0,1000.0,1.0,90.0
163,330.0,-12.565000000000001,2.2675,1.7874999999999999,0.479999999999999,2.0,1000.0,1.0,90.0
164,332.0,-12.625000000000002,2.322499999999999,1.845,0.477499999999999,2.0,1000.0,1.0,90.0
165,334.0,-12.627500000000005,2.27,1.77,0.499999999999999,2.0,1000.0,1.0,90.0
166,336.0,-12.549999999999999,2.3525,1.8575,0.495,2.0,1000.0,1.0,90.0
167,338.00000000000006,-12.735000000000001,2.4225,1.96,0.462499999999999,2.0,1000.0,1.0,90.0
168,340.0,-12.517499999999998,2.2425,1.7525,0.49,2.0,1000.0,1.0,90.0
169,342.0,-12.5625,2.325,1.8375,0.48750000000000004,2.0,1000.0,1.0,90.0
170,344.0,-12.355,2.2475,1.7449999999999999,0.502499999999999,2.0,1000.0,1.0,90.0
171,346.0,-12.662500000000003,2.299999999999999,1.8199999999999998,0.479999999999999,2.0,1000.0,1.0,90.0
172,348.00000000000006,-12.9775,2.679999999999999,2.195,0.484999999999999,2.0,1000.0,1.0,90.0
173,350.0,-12.575000000000001,2.3425000000000002,1.8675,0.475,2.0,1000.0,1.0,90.0
174,352.0,-12.525000000000002,2.3275,1.815,0.5125,2.0,1000.0,1.0,90.0
175,354.0,-12.53,2.325,1.83,0.495,2.0,1000.0,1.0,90.0
176,356.0,-12.487500000000002,2.2175000000000002,1.7274999999999998,0.49,2.0,1000.0,1.0,90.0
177,358.00000000000006,-12.4925,2.2525,1.7599999999999998,0.492499999999999,2.0,1000.0,1.0,90.0
178,360.0,-12.585,2.2575000000000003,1.7774999999999999,0.48,2.0,1000.0,1.0,90.0
179,362.0,-12.72,2.2925,1.805,0.48750000000000004,2.0,1000.0,1.0,90.0
180,364.0,-12.5275,2.29,1.8074999999999999,0.482499999999999,2.0,1000.0,1.0,90.0
181,366.0,-12.460000000000003,2.335,1.8625,0.47249999999999903,2.0,1000.0,1.0,90.0
182,368.0,-12.517499999999998,2.335,1.845,0.49,2.0,1000.0,1.0,90.0
183,370.0,-12.742500000000001,2.3474999999999997,1.8375,0.51,2.0,1000.0,1.0,90.0
184,372.0,-12.549999999999999,2.3674999999999997,1.865,0.5025000000000001,2.0,1000.0,1.0,90.0
185,374.0,-12.355,2.2375,1.75,0.487499999999999,2.0,1000.0,1.0,90.0
186,376.0,-12.535,2.315,1.8225,0.492499999999999,2.0,1000.0,1.0,90.0
187,378.0,-12.872500000000002,2.3325,1.8575,0.475,2.0,1000.0,1.0,90.0
188,380.0,-12.270000000000001,2.2375,1.7374999999999998,0.499999999999999,2.0,1000.0,1.0,90.0
189,382.0,-12.425,2.2325,1.7525,0.479999999999999,2.0,1000.0,1.0,90.0
190,384.00000000000006,-12.327500000000002,2.2575000000000003,1.7825,0.475,2.0,1000.0,1.0,90.0
191,386.0,-12.41,2.2575000000000003,1.77,0.48750000000000004,2.0,1000.0,1.0,90.0
192,388.0,-12.95,2.505,2.015,0.489999999999999,2.0,1000.0,1.0,90.0
193,390.0,-12.4025,2.37,1.865,0.505,2.0,1000.0,1.0,90.0
194,392.0,-12.375,2.3525,1.8599999999999999,0.492499999999999,2.0,1000.0,1.0,90.0
195,394.00000000000006,-12.615,2.24,1.7399999999999998,0.5,2.0,1000.0,1.0,90.0
196,396.0,-12.412500000000001,2.285,1.7725,0.5125,2.0,1000.0,1.0,90.0
197,398.0,-12.2275,2.1925,1.705,0.487499999999999,2.0,1000.0,1.0,90.0
198,400.0,-12.620000000000003,2.3975,1.8925,0.504999999999999,2.0,1000.0,1.0,90.0
199,402.0,-12.792500000000002,2.4425,1.9275,0.514999999999999,2.0,1000.0,1.0,90.0
200,404.00000000000006,-12.555,2.355,1.8525,0.502499999999999,2.0,1000.0,1.0,90.0
201,406.0,-12.4475,2.41,1.925,0.485,2.0,1000.0,1.0,90.0
202,408.0,-12.357499999999998,2.175,1.6875,0.487499999999999,2.0,1000.0,1.0,90.0
203,410.0,-12.460000000000003,2.2800000000000002,1.8074999999999999,0.47250000000000003,2.0,1000.0,1.0,90.0
204,412.0,-12.4575,2.2575000000000003,1.7799999999999998,0.47750000000000004,2.0,1000.0,1.0,90.0
205,414.00000000000006,-12.5,2.2725,1.8025,0.46999999999999903,2.0,1000.0,1.0,90.0
206,416.0,-12.417499999999999,2.24,1.7325,0.5075000000000001,2.0,1000.0,1.0,90.0
207,418.0,-12.25,2.29,1.775,0.515,2.0,1000.0,1.0,90.0
208,420.0,-12.5475,2.27,1.775,0.495,2.0,1000.0,1.0,90.0
209,422.0,-12.7375,2.2875,1.795,0.49250000000000005,2.0,1000.0,1.0,90.0
